store,model,RMSE,MAE,MAPE
20,ARIMA,78519.97759509728,65441.368597094144,3.156956174661363
4,ARIMA,123739.3507026628,108115.60218362819,5.0657945581194666
14,ARIMA,156791.76542803147,118128.25315201224,7.238233684196146
13,ARIMA,79142.65773086312,55175.5463426232,2.6694796453237557
2,ARIMA,56125.69865788141,48106.25408675623,2.55060778962365
10,ARIMA,70530.59277114244,55383.41830210033,3.1808062167266207
27,ARIMA,102816.28954594844,58861.72492616055,3.428685993846281
6,ARIMA,37812.19749819349,32435.336691847573,2.1560042831687873
1,ARIMA,43947.48769587473,38153.93647388895,2.4801709068780022
39,ARIMA,57529.414220978855,42037.13554201221,2.6272525093458
